step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
25,CASH_OUT,3896.24,C355021692,8026.47,4130.23,M584731504,27468.66,31364.9,0,0
26,PAYMENT,4814.02,C160333922,27101.22,22287.2,M203851303,80826.09,85640.11,0,0
27,TRANSFER,1090.21,C123621514,87309.71,86219.5,M903495617,50570.61,51660.82,0,0
28,DEBIT,1820.65,C461836514,39129.43,37308.77,M389626924,30897.4,32718.05,0,0
29,PAYMENT,2602.85,C342399801,55430.62,52827.77,M511409857,26763.76,29366.61,0,0
30,CASH_IN,4848.53,C287489340,29208.19,24359.67,M446119508,20896.26,25744.78,0,0
31,TRANSFER,1859.15,C860323195,71668.4,69809.25,M903477724,71816.56,73675.7,0,0
32,DEBIT,200.18,C442507151,15512.03,15311.84,M534326370,289.42,489.6,0,0
33,DEBIT,11541.68,C705149280,55815.45,44273.78,M418618799,63921.0,75462.68,0,0
34,PAYMENT,1103.18,C547825150,53288.94,52185.76,M241081365,89367.51,90470.69,0,0
35,DEBIT,2356.98,C598133372,18873.43,16516.44,M279446833,54139.75,56496.73,0,0
36,PAYMENT,3023.4,C983767138,30191.0,27167.6,M931926956,66753.18,69776.58,0,0
37,TRANSFER,6471.84,C699419660,62277.38,55805.55,M907708500,31209.5,37681.34,0,0
38,CASH_OUT,854.76,C398978490,13474.0,12619.24,M260157232,8214.22,9068.97,0,0
39,CASH_IN,1035.65,C280106680,49003.2,47967.55,M485415013,57742.99,58778.65,0,0
40,TRANSFER,156.94,C256260296,62626.98,62470.05,M617512510,17322.27,17479.21,0,0
41,CASH_OUT,715.03,C307960426,38538.46,37823.42,M735530731,87571.97,88287.0,0,0
42,TRANSFER,1584.57,C474507349,51355.47,49770.9,M857353386,22648.59,24233.16,0,0
43,PAYMENT,1378.13,C219317504,48951.58,47573.45,M729528532,53339.36,54717.48,0,0
44,DEBIT,9279.24,C103710725,43121.83,33842.59,M344310174,91410.68,100689.92,0,0
45,PAYMENT,396.62,C953221559,73221.86,72825.24,M245096960,38135.74,38532.37,0,0
46,PAYMENT,418.02,C325512858,73267.88,72849.86,M912749733,67787.75,68205.77,0,0
47,CASH_OUT,2239.16,C981729324,60761.8,58522.64,M979554075,1680.08,3919.24,0,0
48,TRANSFER,2521.72,C343656856,51741.94,49220.22,M807778849,16778.34,19300.06,0,0
49,TRANSFER,475.94,C405295868,67982.29,67506.35,M220373117,61032.28,61508.21,0,0
50,PAYMENT,1227.68,C171280053,16469.55,15241.87,M301850715,15761.34,16989.01,0,0
51,CASH_IN,0.76,C814407433,52827.1,52826.34,M817783041,84076.62,84077.39,0,0
52,CASH_IN,1718.26,C186388902,40464.81,38746.54,M595756175,27916.92,29635.19,0,0
53,DEBIT,276.83,C674758233,55104.52,54827.7,M738619464,41875.92,42152.74,0,0
54,PAYMENT,242.07,C236735342,17628.2,17386.14,M862808016,39268.89,39510.96,0,0
55,CASH_OUT,832.89,C382384838,78554.22,77721.33,M611954779,57728.87,58561.76,0,0
56,CASH_OUT,958.1,C985743198,41790.73,40832.64,M866481047,25902.86,26860.96,0,0
57,CASH_OUT,1490.1,C219507256,96120.47,94630.38,M147012749,47081.88,48571.98,0,0
58,TRANSFER,6376.88,C547704052,84185.68,77808.79,M452980955,60052.45,66429.33,0,0
59,DEBIT,2842.06,C668725849,27931.83,25089.77,M272818737,80883.52,83725.58,0,0
60,CASH_IN,2370.62,C380264555,24228.99,21858.37,M881770693,1581.05,3951.67,0,0
61,CASH_OUT,1462.52,C993188488,34096.5,32633.99,M378116300,52254.19,53716.71,0,0
62,PAYMENT,956.86,C679039512,50144.45,49187.6,M996780562,85064.44,86021.3,0,0
63,PAYMENT,3339.79,C421311930,54449.07,51109.28,M312260570,67087.92,70427.71,0,0
64,DEBIT,256.14,C411047564,63931.45,63675.31,M829982421,29873.32,30129.45,0,0
65,CASH_IN,5042.05,C584972870,58966.58,53924.54,M781784167,68483.29,73525.34,0,0
66,CASH_OUT,36.08,C552682937,87399.84,87363.76,M926831121,73270.77,73306.85,0,0
67,CASH_OUT,843.25,C980136498,44294.12,43450.87,M602947816,50823.99,51667.23,0,0
68,TRANSFER,1118.46,C440145392,45759.21,44640.75,M676307383,36181.12,37299.57,0,0
69,CASH_OUT,706.38,C202377062,37578.29,36871.91,M356828156,45089.88,45796.27,0,0
70,CASH_OUT,3473.61,C452820448,74605.11,71131.5,M268687631,39473.86,42947.47,0,0
71,CASH_OUT,239.65,C795597449,85133.06,84893.4,M344997296,77463.97,77703.62,0,0
72,DEBIT,675.7,C140449750,1411.29,735.59,M331375367,66249.16,66924.86,0,0
73,TRANSFER,784.69,C339016958,12282.53,11497.84,M940388204,76945.32,77730.01,0,0
74,DEBIT,2367.15,C948221534,69202.97,66835.82,M526620453,53491.03,55858.18,0,0
75,PAYMENT,589.82,C780070946,83641.12,83051.3,M659978127,76570.83,77160.65,0,0
76,CASH_OUT,2717.69,C429353846,24844.92,22127.22,M299462697,83554.38,86272.07,0,0
77,CASH_OUT,1267.79,C661417357,26324.92,25057.13,M530653226,42667.19,43934.98,0,0
78,TRANSFER,1604.52,C972992918,70203.44,68598.92,M370467947,63219.03,64823.55,0,0
79,CASH_OUT,181.61,C742115672,83702.12,83520.51,M586667448,31703.64,31885.24,0,0
80,CASH_IN,754.24,C643824622,59391.3,58637.06,M215994449,94958.53,95712.77,0,0
81,PAYMENT,2635.8,C988867928,91470.23,88834.43,M132081174,36687.68,39323.48,0,0
82,TRANSFER,740.39,C656491575,80844.96,80104.56,M974876083,37374.97,38115.37,0,0
83,PAYMENT,3173.79,C251701900,18852.7,15678.91,M791516938,38809.1,41982.89,0,0
84,TRANSFER,1546.99,C110144969,75463.61,73916.62,M310227209,44473.62,46020.61,0,0
85,CASH_IN,1241.86,C427915217,97748.79,96506.93,M456414849,19375.35,20617.21,0,0
86,CASH_IN,983.89,C443653575,12015.48,11031.59,M680695637,13048.64,14032.53,0,0
87,CASH_OUT,1511.37,C711415397,19964.29,18452.92,M835205639,58107.75,59619.12,0,0
88,DEBIT,858.65,C195913238,90050.35,89191.69,M559386033,11688.87,12547.53,0,0
89,DEBIT,14265.34,C281266253,88863.04,74597.7,M772324498,42212.16,56477.5,0,0
90,TRANSFER,3519.08,C845468280,4395.4,876.32,M262126321,84864.85,88383.92,0,0
91,CASH_OUT,874.99,C545074951,7141.06,6266.07,M710834463,62362.22,63237.21,0,0
92,CASH_IN,3572.07,C369617476,18265.1,14693.04,M997336795,34719.05,38291.11,0,0
93,PAYMENT,16.33,C915993521,30636.84,30620.51,M293560730,47554.23,47570.56,0,0
94,CASH_OUT,6404.8,C689985281,85498.01,79093.21,M517575100,12642.01,19046.81,0,0
95,PAYMENT,1209.51,C928496886,11780.89,10571.38,M792920194,6848.37,8057.88,0,0
96,PAYMENT,1463.9,C305489556,43118.59,41654.69,M308968013,36701.83,38165.73,0,0
97,TRANSFER,753.82,C667588714,73406.35,72652.53,M798970577,49552.2,50306.02,0,0
98,DEBIT,4963.34,C907917266,52970.78,48007.45,M941866781,46788.93,51752.27,0,0
99,CASH_OUT,491.63,C991852694,71666.87,71175.24,M503767436,63530.5,64022.13,0,0
100,PAYMENT,248.13,C101196136,27237.0,26988.88,M691478024,4211.27,4459.39,0,0
101,TRANSFER,1432.48,C817112089,25485.83,24053.35,M485813374,19809.71,21242.19,0,0
102,CASH_OUT,3106.05,C253046383,23946.34,20840.29,M726292450,9987.81,13093.86,0,0
103,DEBIT,3679.52,C187744991,70676.48,66996.95,M485068901,39439.82,43119.34,0,0
104,CASH_OUT,1190.92,C937987908,30460.44,29269.52,M673762811,35051.06,36241.98,0,0
105,PAYMENT,958.8,C408416946,73703.97,72745.17,M400949766,96977.46,97936.26,0,0
106,DEBIT,843.3,C905817014,29098.5,28255.2,M254391302,8247.36,9090.66,0,0
107,CASH_OUT,4.58,C565170502,15684.12,15679.54,M252530935,32847.91,32852.49,0,0
108,CASH_IN,1802.85,C303086321,65840.88,64038.03,M843638728,66244.68,68047.53,0,0
109,TRANSFER,2775.28,C737050436,29866.2,27090.92,M314568061,34565.88,37341.16,0,0
110,CASH_IN,1506.32,C367681470,37345.11,35838.79,M180944252,19855.14,21361.46,0,0
111,CASH_OUT,1506.13,C131183391,64765.49,63259.36,M432780136,92916.34,94422.47,0,0
112,TRANSFER,1510.47,C120977762,67853.59,66343.12,M278215360,51124.22,52634.69,0,0
113,TRANSFER,638.99,C712983302,84751.8,84112.82,M758763348,6651.73,7290.72,0,0
114,PAYMENT,421.15,C397532024,50090.31,49669.16,M199191841,40439.58,40860.73,0,0
115,CASH_OUT,1220.11,C477551999,28367.62,27147.51,M640528749,35279.84,36499.95,0,0
116,TRANSFER,5461.57,C809947970,55650.96,50189.39,M893237370,38420.74,43882.31,0,0
117,CASH_IN,1977.63,C194381196,22595.03,20617.41,M716985454,4543.53,6521.16,0,0
118,CASH_IN,1080.8,C566606695,48710.63,47629.83,M254127537,19520.36,20601.15,0,0
119,PAYMENT,468.39,C427280849,84329.29,83860.9,M829706909,43021.41,43489.8,0,0
120,TRANSFER,427.6,C798713611,74924.15,74496.55,M639572294,87897.53,88325.13,0,0
121,TRANSFER,1006.89,C187779232,57558.92,56552.02,M325557688,43905.21,44912.1,0,0
122,DEBIT,1527.63,C812576244,7650.81,6123.18,M327578181,56268.74,57796.36,0,0
123,CASH_OUT,572.19,C182706701,6940.28,6368.09,M606476755,44061.9,44634.09,0,0
124,CASH_IN,641.4,C752551984,31223.36,30581.96,M645361525,61084.53,61725.92,0,0
125,DEBIT,50.57,C853957249,87580.24,87529.66,M247868811,77901.45,77952.03,0,0
126,TRANSFER,2448.12,C156386511,795.29,0.0,M511451600,55160.61,57608.73,0,0
127,CASH_IN,133.79,C918230632,55723.03,55589.24,M848033590,94202.9,94336.69,0,0
128,TRANSFER,2375.64,C612324870,1619.94,0.0,M626043516,56023.17,58398.81,0,0
129,CASH_OUT,1114.06,C808284255,49684.15,48570.09,M109076378,51345.33,52459.39,0,0
130,DEBIT,2764.62,C583618894,40955.8,38191.17,M201738541,78964.07,81728.69,0,0
131,PAYMENT,603.59,C357466593,22830.27,22226.69,M841826615,16184.88,16788.47,0,0
132,TRANSFER,1434.57,C398001171,96135.19,94700.62,M803228573,28180.73,29615.3,0,0
133,DEBIT,37.96,C672324937,66656.33,66618.37,M342177282,83814.91,83852.87,0,0
134,CASH_IN,445.83,C363310438,90294.07,89848.23,M217730681,84874.29,85320.12,0,0
135,TRANSFER,6031.86,C649927275,66762.45,60730.6,M142214095,88605.98,94637.84,0,0
136,DEBIT,251.67,C383113663,84440.86,84189.18,M704546415,96242.42,96494.09,0,0
137,CASH_OUT,2279.06,C651853797,99474.26,97195.2,M977941940,14755.48,17034.53,0,0
138,DEBIT,1330.87,C321056984,98501.7,97170.83,M591211793,40328.75,41659.62,0,0
139,DEBIT,1103.77,C805489217,64239.0,63135.23,M248074269,98822.31,99926.08,0,0
140,DEBIT,1926.68,C900838984,77760.35,75833.68,M189547498,8377.52,10304.2,0,0
141,TRANSFER,2561.44,C917331125,93758.69,91197.25,M736087996,2746.42,5307.86,0,0
142,CASH_IN,2088.95,C755162349,77718.15,75629.19,M634653145,85104.57,87193.53,0,0
143,DEBIT,3599.18,C401375193,89346.34,85747.16,M536563739,22272.93,25872.11,0,0
144,CASH_OUT,5958.09,C213005614,53935.52,47977.43,M634134277,40968.7,46926.79,0,0
145,TRANSFER,5279.19,C815833516,19070.96,13791.77,M827047630,61608.12,66887.31,0,0
146,DEBIT,894.88,C964601837,24125.78,23230.9,M641393892,18756.09,19650.97,0,0
147,TRANSFER,405.1,C897002968,63841.84,63436.74,M806205536,27312.6,27717.7,0,0
148,CASH_IN,5878.34,C802891125,33391.96,27513.61,M211791806,39755.79,45634.13,0,0
149,CASH_IN,762.38,C813590111,28731.49,27969.11,M693982033,46097.74,46860.13,0,0
150,DEBIT,323.76,C493173991,59747.02,59423.26,M431378094,93433.16,93756.92,0,0
151,CASH_IN,487.29,C327898240,85338.73,84851.44,M394344349,17724.17,18211.46,0,0
152,CASH_OUT,167.89,C517092275,23649.43,23481.54,M703763868,78857.45,79025.34,0,0
153,DEBIT,250.83,C248373262,40067.49,39816.66,M455436008,85231.22,85482.05,0,0
154,CASH_IN,2813.7,C646504283,74247.76,71434.06,M742853158,54647.99,57461.69,0,0
155,TRANSFER,3548.52,C530654312,1743.26,0.0,M992829668,66249.2,69797.71,0,0
156,DEBIT,381.6,C951255498,20003.17,19621.57,M655498513,1864.62,2246.22,0,0
157,CASH_IN,2002.87,C592120438,79712.88,77710.01,M323711076,93755.9,95758.77,0,0
158,CASH_OUT,1982.29,C935944984,37356.89,35374.6,M631795119,23093.31,25075.6,0,0
159,CASH_IN,6688.45,C234429061,58512.92,51824.48,M971785038,94163.04,100851.49,0,0
160,TRANSFER,47866.02,C724879406,25115.69,0.0,M149442082,83305.01,131171.03,1,1
161,CASH_OUT,343.18,C775201474,54844.41,54501.23,M560444894,225.62,568.8,0,0
162,CASH_OUT,938.96,C846555703,7397.56,6458.6,M197806584,31889.83,32828.79,0,0
163,CASH_IN,1031.5,C373246025,23752.25,22720.75,M358369403,60222.89,61254.39,0,0
164,PAYMENT,5192.31,C816249963,10099.9,4907.59,M834839636,57624.58,62816.89,0,0
165,TRANSFER,945.66,C935188596,49796.34,48850.68,M832192436,72503.77,73449.43,0,0
166,TRANSFER,5170.12,C804112342,83377.33,78207.22,M861221777,45061.32,50231.44,0,0
167,PAYMENT,131.03,C715338532,72870.74,72739.71,M828387066,68053.89,68184.92,0,0
168,CASH_IN,4382.83,C516889369,29953.55,25570.72,M367293266,76222.93,80605.76,0,0
169,CASH_IN,289.82,C910481600,1612.59,1322.77,M287828207,81682.02,81971.84,0,0
170,CASH_OUT,1416.29,C962704472,63187.4,61771.11,M708659867,28008.99,29425.28,0,0
171,PAYMENT,127.95,C983966069,77500.14,77372.19,M230720989,7485.32,7613.27,0,0
172,DEBIT,1095.0,C802034965,58368.51,57273.51,M276105798,81618.78,82713.78,0,0
173,CASH_IN,1027.95,C443048635,20971.74,19943.79,M928870229,56161.43,57189.37,0,0
174,CASH_OUT,1307.92,C631578519,28315.99,27008.07,M680870145,95950.7,97258.62,0,0
175,DEBIT,1241.03,C791738814,89372.88,88131.85,M337876249,80787.03,82028.06,0,0
176,TRANSFER,4067.65,C665296461,82192.99,78125.35,M430998780,59586.24,63653.88,0,0
177,CASH_OUT,210.92,C359907411,16525.69,16314.77,M633720792,81855.39,82066.31,0,0
178,CASH_IN,208.84,C114510432,61395.89,61187.05,M310285591,89912.1,90120.95,0,0
179,TRANSFER,3740.23,C627233640,25891.89,22151.66,M343230070,57152.92,60893.15,0,0
180,TRANSFER,109.1,C565555216,489.67,380.56,M472959826,3955.76,4064.87,0,0
181,PAYMENT,1355.44,C331044909,76507.54,75152.1,M868675728,5238.92,6594.37,0,0
182,CASH_IN,2205.73,C271404317,39869.45,37663.71,M971044719,5590.53,7796.27,0,0
183,CASH_IN,1323.21,C542876549,95385.71,94062.5,M682650041,42812.55,44135.76,0,0
184,CASH_OUT,2180.78,C423077314,55955.71,53774.93,M503543990,52578.38,54759.16,0,0
185,DEBIT,403.15,C659180822,21725.51,21322.36,M359964010,30958.64,31361.78,0,0
186,TRANSFER,1925.85,C580153862,48772.17,46846.32,M870646854,38062.07,39987.92,0,0
187,PAYMENT,476799.34,C137002144,71632.04,0.0,M231254544,26685.49,503484.83,1,1
188,DEBIT,1107.36,C913748234,98152.13,97044.77,M603413747,86710.08,87817.44,0,0
189,CASH_OUT,4.26,C624251351,55400.65,55396.39,M606428130,88658.62,88662.87,0,0
190,TRANSFER,3866.15,C298841141,2379.52,0.0,M443870848,5525.64,9391.79,0,0
191,TRANSFER,1933.3,C507268979,33030.15,31096.86,M796685624,51197.62,53130.92,0,0
192,CASH_IN,363.23,C273018608,82577.85,82214.62,M673934452,28323.4,28686.63,0,0
193,PAYMENT,2830.2,C365108772,5206.29,2376.1,M233422585,90999.56,93829.75,0,0
194,CASH_OUT,1070.57,C399683078,54279.33,53208.75,M434385747,16311.17,17381.75,0,0
195,CASH_IN,2038.28,C722959988,50698.07,48659.79,M333956089,10984.1,13022.38,0,0
196,CASH_OUT,2559.38,C530556875,4861.16,2301.78,M488242839,17572.38,20131.76,0,0
197,DEBIT,1518.87,C905034854,27165.58,25646.71,M852505342,28695.31,30214.17,0,0
198,PAYMENT,57.4,C300393361,7796.76,7739.36,M540311817,18710.12,18767.51,0,0
199,PAYMENT,713.09,C275942411,64044.12,63331.03,M272825435,4861.5,5574.59,0,0
200,CASH_IN,3449.65,C783509465,84178.0,80728.36,M562327607,82647.72,86097.37,0,0
201,CASH_OUT,96.92,C133928848,46437.16,46340.24,M232551980,31281.78,31378.71,0,0
202,PAYMENT,3238.88,C194077393,19660.95,16422.08,M561772297,85497.89,88736.77,0,0
203,PAYMENT,370352.83,C140987831,85156.08,0.0,M197085799,29760.46,400113.28,1,1
204,CASH_IN,253.18,C986798527,90642.66,90389.48,M386351120,36412.61,36665.8,0,0
205,CASH_IN,1588.57,C763411644,62006.66,60418.08,M918033071,56132.32,57720.89,0,0
206,PAYMENT,49377.28,C629195130,76913.78,27536.5,M143885732,73312.0,122689.28,1,1
207,CASH_OUT,1631.16,C616652187,69829.94,68198.78,M411905601,54406.29,56037.45,0,0
208,CASH_OUT,517.46,C529109612,67420.21,66902.74,M766461159,28593.8,29111.26,0,0
209,PAYMENT,1453.74,C437577312,86253.97,84800.24,M669755453,95211.89,96665.63,0,0
210,CASH_IN,4090.89,C917735195,95719.14,91628.25,M127348945,55929.39,60020.29,0,0
211,CASH_IN,6549.22,C301955817,47712.14,41162.92,M990933102,24174.13,30723.34,0,0
212,CASH_IN,1505.88,C913957408,76403.16,74897.29,M689669722,72375.83,73881.7,0,0
213,PAYMENT,843.15,C498327674,58013.23,57170.08,M824727099,62366.32,63209.47,0,0
214,PAYMENT,3748.19,C346080501,87255.92,83507.73,M509011831,39941.73,43689.92,0,0
215,DEBIT,645.16,C138727244,59977.96,59332.8,M347284281,57144.01,57789.17,0,0
216,CASH_IN,894.94,C399958732,62837.23,61942.29,M567069229,52226.22,53121.16,0,0
217,CASH_OUT,3176.11,C269199915,42402.91,39226.8,M148560753,39798.44,42974.55,0,0
218,PAYMENT,1145.23,C178382370,10523.86,9378.63,M646918591,13011.63,14156.86,0,0
219,CASH_OUT,608.06,C644668420,73690.1,73082.03,M244127556,67278.0,67886.06,0,0
220,PAYMENT,2419.36,C941387389,32143.18,29723.81,M173573768,27439.44,29858.8,0,0
221,DEBIT,2331.55,C835465047,52995.54,50664.0,M334518205,75671.72,78003.27,0,0
222,TRANSFER,1639.63,C262314516,6390.23,4750.6,M773085432,26316.16,27955.8,0,0
223,TRANSFER,863.74,C789008541,87121.12,86257.38,M500532778,32381.53,33245.27,0,0
224,CASH_IN,3389.46,C223163352,6505.99,3116.53,M557220114,10289.72,13679.18,0,0
225,CASH_OUT,603.0,C409579551,43410.85,42807.85,M525437542,27928.13,28531.12,0,0
226,CASH_OUT,795.61,C381309465,60498.09,59702.47,M272408145,23288.35,24083.96,0,0
227,PAYMENT,4559.46,C817970292,71711.78,67152.32,M727891493,13943.48,18502.94,0,0
228,CASH_OUT,592.13,C365000367,93682.52,93090.39,M985665717,12544.28,13136.41,0,0
229,DEBIT,1495.1,C521127874,38210.06,36714.96,M604271063,63392.83,64887.92,0,0
230,CASH_OUT,529.74,C425330253,27964.28,27434.54,M556685201,69245.0,69774.75,0,0
231,TRANSFER,25.13,C467476528,48365.72,48340.59,M338287773,78248.98,78274.12,0,0
232,TRANSFER,9375.21,C568058847,13832.36,4457.15,M592626498,44215.34,53590.54,0,0
233,CASH_OUT,3786.07,C553795153,46590.53,42804.47,M208558893,81284.25,85070.31,0,0
234,CASH_IN,1734.68,C975722695,27687.39,25952.71,M264361240,34944.41,36679.09,0,0
235,CASH_IN,1926.75,C625169012,58734.21,56807.46,M227135698,94483.02,96409.77,0,0
236,DEBIT,4329.7,C998985974,91668.25,87338.55,M230540146,19558.55,23888.25,0,0
237,DEBIT,32.37,C800465650,15888.29,15855.93,M689721592,64416.47,64448.83,0,0
238,CASH_IN,78718.31,C286783196,98043.86,19325.56,M558718860,37800.09,116518.4,1,0
239,TRANSFER,2150.3,C907747460,67761.89,65611.59,M792386700,111.7,2261.99,0,0
240,CASH_IN,1555.38,C232055437,67291.79,65736.41,M835849661,63134.35,64689.74,0,0
241,DEBIT,1064.64,C914780514,77156.67,76092.03,M686935630,58981.7,60046.34,0,0
242,PAYMENT,38.27,C740279595,65469.31,65431.04,M204976961,20214.46,20252.73,0,0
243,CASH_IN,4141.47,C249758593,32515.95,28374.49,M824866669,96019.04,100160.51,0,0
244,CASH_IN,666.27,C635911274,33399.61,32733.34,M650490309,3018.26,3684.53,0,0
245,PAYMENT,370.65,C609871442,33722.62,33351.97,M650100761,12942.88,13313.54,0,0
246,DEBIT,5781.18,C368342256,28140.03,22358.85,M756595074,8628.8,14409.98,0,0
247,TRANSFER,327.14,C240962083,18013.81,17686.67,M210403454,68210.82,68537.96,0,0
248,CASH_OUT,471.82,C485746533,73351.72,72879.9,M670277609,71497.2,71969.02,0,0
249,PAYMENT,1519.21,C208664333,39326.3,37807.09,M656275502,6929.12,8448.32,0,0
250,TRANSFER,1018.23,C528530921,13708.49,12690.26,M158977583,99084.67,100102.9,0,0
251,DEBIT,6481.57,C481013339,97644.03,91162.46,M451755805,80348.52,86830.09,0,0
252,PAYMENT,310.26,C948176858,7987.02,7676.76,M592009253,93923.85,94234.11,0,0
253,DEBIT,423.95,C402430155,69489.37,69065.42,M461938050,71810.84,72234.78,0,0
254,TRANSFER,3649.07,C555348763,12330.69,8681.62,M360413720,45844.71,49493.78,0,0
255,CASH_IN,437.19,C447676905,93752.82,93315.63,M476978952,87076.53,87513.72,0,0
256,CASH_OUT,1750.97,C502255810,3843.59,2092.62,M419047288,7721.03,9472.0,0,0
257,CASH_IN,1918.88,C409689464,75013.24,73094.37,M687715811,10997.9,12916.78,0,0
258,CASH_OUT,971.09,C606557035,15354.88,14383.8,M742469075,61446.34,62417.43,0,0
259,CASH_IN,2328.67,C861883472,7457.57,5128.9,M306145996,62120.59,64449.26,0,0
260,DEBIT,866.12,C557411967,52931.05,52064.93,M294829670,92074.75,92940.87,0,0
261,PAYMENT,3049.56,C285880196,80498.82,77449.26,M841079632,75397.7,78447.26,0,0
262,CASH_IN,3965.66,C743881315,41599.31,37633.65,M283466414,96605.07,100570.73,0,0
263,PAYMENT,5039.87,C994733268,400.46,0.0,M442350481,141.21,5181.09,0,0
264,TRANSFER,6845.09,C343733083,3323.61,0.0,M230278368,9856.56,16701.65,0,0
265,CASH_IN,1829.23,C215111539,70090.27,68261.04,M253188153,2409.2,4238.43,0,0
266,CASH_IN,1292.93,C485038115,59538.87,58245.95,M274666669,77882.31,79175.24,0,0
267,PAYMENT,438.3,C910900146,90438.86,90000.56,M613139082,15527.23,15965.54,0,0
268,CASH_IN,2072.07,C716661644,67874.42,65802.35,M421552834,33247.71,35319.77,0,0
269,PAYMENT,8.12,C967760919,47481.38,47473.26,M988590834,55907.15,55915.27,0,0
270,DEBIT,3379.09,C766397680,46044.54,42665.45,M516796053,91030.77,94409.86,0,0
271,DEBIT,517.23,C595832073,95130.34,94613.1,M756120365,86171.3,86688.53,0,0
272,TRANSFER,717.76,C772382045,82620.86,81903.1,M134879821,11583.86,12301.62,0,0
273,CASH_IN,2354.05,C872375748,29823.25,27469.2,M445065710,44729.18,47083.23,0,0
274,DEBIT,2043.08,C967759533,51916.96,49873.88,M225382648,25017.66,27060.74,0,0
275,TRANSFER,1518.2,C594907781,501.28,0.0,M479722693,88789.76,90307.96,0,0
276,TRANSFER,663.07,C178034992,56101.7,55438.63,M328438963,33279.0,33942.07,0,0
277,CASH_IN,3649.41,C584336529,65655.75,62006.34,M739144155,49644.22,53293.63,0,0
278,TRANSFER,3556.84,C913714896,59901.45,56344.62,M631233417,32618.53,36175.36,0,0
279,PAYMENT,5175.81,C552109533,42954.17,37778.35,M569519778,20279.31,25455.13,0,0
280,TRANSFER,1813.26,C722608798,56294.66,54481.4,M579342417,11439.15,13252.4,0,0
281,TRANSFER,1791.92,C956849623,12743.97,10952.06,M552853316,37084.18,38876.1,0,0
282,CASH_OUT,1531.47,C718677850,85560.8,84029.33,M668988749,26919.95,28451.42,0,0
283,PAYMENT,166.65,C265313469,29068.78,28902.13,M743680801,21883.57,22050.22,0,0
284,CASH_IN,2935.15,C883577388,63744.47,60809.31,M456501451,71574.36,74509.51,0,0
285,DEBIT,58.69,C378769905,31489.71,31431.02,M168600460,88092.0,88150.68,0,0
286,CASH_OUT,841.05,C831730755,11736.66,10895.61,M147290137,10568.85,11409.91,0,0
287,CASH_IN,459.63,C953959688,93275.17,92815.55,M970803135,39363.88,39823.51,0,0
288,DEBIT,1407.18,C737355223,71546.92,70139.75,M156876972,69643.73,71050.9,0,0
289,DEBIT,6.85,C944982423,30658.34,30651.49,M563548942,77626.86,77633.71,0,0
290,TRANSFER,690.61,C967344676,37147.72,36457.12,M243584560,59594.99,60285.59,0,0
